,Accuracy,Precision,Recall,F1,MCC,AUC
Logistic Regression,0.7971339005821765,0.7956989247311828,0.7693761814744802,0.7823161941374339,0.5927735737935427,0.8729348831597151
Decision Tree,0.8199731303179579,0.7987249544626593,0.8289224952741021,0.813543599257885,0.6400449989658409,0.8469991553714354
kNN,0.7899686520376176,0.796576032225579,0.7476370510396976,0.7713310580204779,0.5784811934309146,0.8520387724731529
Naive Bayes,0.754590237348858,0.715008431703204,0.8015122873345936,0.7557932263814616,0.5141439567972437,0.8087543739693519
Random Forest (Ensemble),0.8401253918495298,0.8137869292748433,0.8591682419659735,0.8358620689655173,0.6812100314782943,0.9126911474882355
XGBoost (Ensemble),0.8522167487684729,0.8285198555956679,0.8676748582230623,0.8476454293628809,0.7050234326127321,0.9221300727989382
